what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1321318888157
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321318900127
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1321318930372
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321318936616
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321318950068
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1321318951348
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321318952080
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319029534
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1321319029587
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319057114
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319060977
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319064370
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319064734
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319071497
activated,perspective,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugPerspective",1321319074352
activated,view,org.eclipse.wst.server.ui,1.1.208.v20110427_1739,"org.eclipse.wst.server.ui.ServersView",1321319076582
activated,perspective,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.JavaPerspective",1321319083672
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321319083727
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319090759
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319118489
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1321319119967
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319122012
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319122549
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319122994
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319133004
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319133964
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319134566
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319135549
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319156273
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321319157296
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1321319160995
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321319162799
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321319162916
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1321319163094
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319164392
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319164825
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319165857
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319209450
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321319210765
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1321319213447
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321319213675
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1321319219056
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319220513
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319229679
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319231397
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319252315
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321319256355
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321319257584
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319259407
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319260259
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319262539
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319293657
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319297292
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319356564
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319357438
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319357830
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1321319362006
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321319372147
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321319372295
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1321319397052
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319398982
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319495390
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1321319496395
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.format",1321319496931
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1321319497431
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319502348
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319502862
error,log,,,"Unhandled event loop exception",1321319503328
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319508001
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319508242
error,log,,,"Unhandled event loop exception",1321319508575
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1321319523588
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1321319524654
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1321319561092
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1321319577757
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1321319583685
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1321319586140
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319598517
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319600110
error,log,,,"Unhandled event loop exception",1321319600415
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1321319602573
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.format",1321319603162
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1321319603507
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319609788
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319612392
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1321319614605
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319618109
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319624160
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319624608
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319631664
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319634302
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319635327
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.ClassFileEditor",1321319640148
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.ClassFileEditor",1321319640299
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1321319643063
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321319643229
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319652776
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319653920
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1321319654621
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319664631
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319668836
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319669500
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319670581
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319673214
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319673956
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319674589
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319675435
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319676271
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319678791
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1321319684131
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.ClassFileEditor",1321319684286
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.ClassFileEditor",1321319684404
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1321319691924
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321319692123
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1321319710120
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319724186
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319726100
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1321319728083
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1321319766212
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1321319771009
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1321319783614
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1321319790799
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319806810
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319868283
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319872559
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319874521
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.format",1321319903739
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1321319912339
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1321319914400
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.format",1321319915173
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1321319934721
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1321319935782
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1321319938053
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1321319949730
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319950167
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321319994550
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321320012290
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321320018645
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321320027177
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321320027417
error,log,,,"Unhandled event loop exception",1321320027798
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1321320064492
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1321320066428
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1321320080032
