what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320758947604
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320758988749
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1320759006171
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1320759007810
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1320759007955
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320759017510
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320759025846
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320759032734
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320759036723
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320759036907
error,log,,,"Unhandled event loop exception",1320759037263
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320759040312
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320759040596
error,log,,,"Unhandled event loop exception",1320759040916
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1320759051715
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1320759053261
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1320759054520
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320759055513
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1320759059191
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1320759064242
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320759071812
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1320759071868
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320759075059
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1320759076335
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320759077240
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1320759077295
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320759082460
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1320759083702
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1320759085336
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320759085849
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1320759085901
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320759087393
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1320759088324
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320759089750
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1320759089798
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320759091883
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320759094952
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320759114217
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320759114425
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1320759114651
error,log,,,"Unhandled event loop exception",1320759114875
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1320759126672
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1320759134898
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1320759135868
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1320759136244
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1320759136645
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1320759136960
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1320759137288
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1320759137561
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320759139082
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1320759141344
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320759141635
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320759150616
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1320759154094
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1320759159889
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320759162295
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320759166913
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320759167149
error,log,,,"Unhandled event loop exception",1320759167366
