what,kind,bundleId,bundleVersion,description,time
started,bundle,com.adobe.flexbuilder.as.editor,4.5.1.313231,"com.adobe.flexbuilder.as.editor",1320390104446
started,bundle,org.eclipse.hyades.execution,4.5.1.v201101211900,"org.eclipse.hyades.execution",1320390104690
started,bundle,org.eclipse.tptp.platform.models.hierarchy,4.7.2.v201101211050,"org.eclipse.tptp.platform.models.hierarchy",1320390104790
started,bundle,org.eclipse.tptp.platform.common.ui,4.4.301.v201012081900,"org.eclipse.tptp.platform.common.ui",1320390104856
started,bundle,org.eclipse.tptp.platform.common,4.4.3.v201101060044,"org.eclipse.tptp.platform.common",1320390104858
started,bundle,org.eclipse.hyades.trace.ui,4.5.102.v201101211900,"org.eclipse.hyades.trace.ui",1320390109957
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320390110831
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320390121219
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320390121932
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320390124897
started,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1320390131372
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320390132750
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1320390134179
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320390134279
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1320390137858
started,bundle,org.codehaus.groovy.eclipse.refactoring,2.5.2.xx-20110918-1400-e36,"org.codehaus.groovy.eclipse.refactoring",1320390145516
started,bundle,org.springframework.ide.eclipse.beans.ui.refactoring,2.7.2.201109122348-RELEASE,"org.springframework.ide.eclipse.beans.ui.refactoring",1320390145922
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320390146093
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320390155435
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1320390156387
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1320390157230
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1320390161048
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1320390161181
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1320390161308
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1320390185093
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1320390185262
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1320390195411
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1320390195531
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320390203656
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1320390204124
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1320390204211
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.open.editor",1320390204217
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320390207456
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.open.editor",1320390207586
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320390209291
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.open.editor",1320390209456
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1320390218868
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1320390218992
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1320390228946
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1320390229070
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1320390230767
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1320390230887
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1320390235407
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1320390235525
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1320390245727
