what,kind,bundleId,bundleVersion,description,time
executed,command,com.adobe.flexbuilder.editorcore,4.5.1.313231,"com.adobe.flexide.editorcore.smart.home",1321574331335
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1321574334134
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1321574338756
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1321574349829
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1321574354053
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321574369981
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321574391745
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321574392163
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321574510788
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321574511156
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321574639353
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321574641604
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321574662469
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321574678833
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321574740917
activated,editor,com.adobe.flexbuilder.as.editor,4.5.1.313231,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1321574752530
closed,editor,com.adobe.flexbuilder.as.editor,4.5.1.313231,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1321574754244
activated,view,com.adobe.flexbuilder.as.editor,4.5.1.313231,"com.adobe.flexbuilder.packageexplorer",1321574760166
activated,editor,com.adobe.flexbuilder.as.editor,4.5.1.313231,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1321574760432
activated,view,com.adobe.flexbuilder.as.editor,4.5.1.313231,"com.adobe.flexbuilder.packageexplorer",1321574786802
opened,editor,com.adobe.flexbuilder.as.editor,4.5.1.313231,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1321574787186
