what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1320391582917
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1320391592650
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320391620379
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.open.editor",1320391620431
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320391674044
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1320391674089
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320391680672
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320391713082
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1320391713151
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.search.references.in.workspace",1320391713165
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1320391718487
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320391748369
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1320391748471
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.search.references.in.workspace",1320391748483
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1320391756859
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1320391759068
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1320391760200
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1320391760344
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1320391763272
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1320391765296
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1320391768097
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320391775701
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1320391775854
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.open.editor",1320391775880
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320391778581
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1320391778890
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.open.editor",1320391778894
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1320391940422
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1320391941014
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1320391941279
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320391946137
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320392037250
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320392050939
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320392129721
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1320392137095
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1320392142785
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1320392143043
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1320392174862
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320392177206
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320392181421
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320392229047
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320392310255
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320392331570
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.open.editor",1320392331718
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1320392340724
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1320392341021
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1320392341190
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.open.editor",1320392341307
